TaskId,IssueUrl,Status
T001,https://github.com/QBS2026/Nabadat-Product/issues/241,already-created
T002,https://github.com/QBS2026/Nabadat-Product/issues/242,created
T003,https://github.com/QBS2026/Nabadat-Product/issues/243,created
T004,https://github.com/QBS2026/Nabadat-Product/issues/244,created
T005,https://github.com/QBS2026/Nabadat-Product/issues/245,created
T006,https://github.com/QBS2026/Nabadat-Product/issues/246,created
T007,https://github.com/QBS2026/Nabadat-Product/issues/247,created
T007a,https://github.com/QBS2026/Nabadat-Product/issues/248,created
T008,https://github.com/QBS2026/Nabadat-Product/issues/249,created
T009,https://github.com/QBS2026/Nabadat-Product/issues/250,created
T010,https://github.com/QBS2026/Nabadat-Product/issues/251,created
T011,https://github.com/QBS2026/Nabadat-Product/issues/252,created
T012,https://github.com/QBS2026/Nabadat-Product/issues/253,created
T013,https://github.com/QBS2026/Nabadat-Product/issues/254,created
T014,https://github.com/QBS2026/Nabadat-Product/issues/255,created
T015,https://github.com/QBS2026/Nabadat-Product/issues/256,created
T016,https://github.com/QBS2026/Nabadat-Product/issues/257,created
T017,https://github.com/QBS2026/Nabadat-Product/issues/258,created
T018,https://github.com/QBS2026/Nabadat-Product/issues/259,created
T019,https://github.com/QBS2026/Nabadat-Product/issues/260,created
T020,https://github.com/QBS2026/Nabadat-Product/issues/261,created
T021,https://github.com/QBS2026/Nabadat-Product/issues/262,created
T022,https://github.com/QBS2026/Nabadat-Product/issues/263,created
T023,https://github.com/QBS2026/Nabadat-Product/issues/264,created
T024,https://github.com/QBS2026/Nabadat-Product/issues/265,created
T025,https://github.com/QBS2026/Nabadat-Product/issues/266,created
T026,https://github.com/QBS2026/Nabadat-Product/issues/267,created
T027,https://github.com/QBS2026/Nabadat-Product/issues/268,created
T028,https://github.com/QBS2026/Nabadat-Product/issues/269,created
T029,https://github.com/QBS2026/Nabadat-Product/issues/270,created
T030,https://github.com/QBS2026/Nabadat-Product/issues/271,created
T031,https://github.com/QBS2026/Nabadat-Product/issues/272,created
T032,https://github.com/QBS2026/Nabadat-Product/issues/273,created
T033,https://github.com/QBS2026/Nabadat-Product/issues/274,created
T034,https://github.com/QBS2026/Nabadat-Product/issues/275,created
T035,https://github.com/QBS2026/Nabadat-Product/issues/276,created
T036,https://github.com/QBS2026/Nabadat-Product/issues/277,created
T037,https://github.com/QBS2026/Nabadat-Product/issues/278,created
T038,https://github.com/QBS2026/Nabadat-Product/issues/279,created
T039,https://github.com/QBS2026/Nabadat-Product/issues/280,created
T040,https://github.com/QBS2026/Nabadat-Product/issues/281,created
T041,https://github.com/QBS2026/Nabadat-Product/issues/282,created
T042,https://github.com/QBS2026/Nabadat-Product/issues/283,created
T043,https://github.com/QBS2026/Nabadat-Product/issues/284,created
T044,https://github.com/QBS2026/Nabadat-Product/issues/285,created
T045,https://github.com/QBS2026/Nabadat-Product/issues/286,created
T046,https://github.com/QBS2026/Nabadat-Product/issues/287,created
T047,https://github.com/QBS2026/Nabadat-Product/issues/288,created
T048,https://github.com/QBS2026/Nabadat-Product/issues/289,created
T049,https://github.com/QBS2026/Nabadat-Product/issues/290,created
T050,https://github.com/QBS2026/Nabadat-Product/issues/291,created
T051,https://github.com/QBS2026/Nabadat-Product/issues/292,created
T052,https://github.com/QBS2026/Nabadat-Product/issues/293,created
T053,https://github.com/QBS2026/Nabadat-Product/issues/294,created
T054,https://github.com/QBS2026/Nabadat-Product/issues/295,created
T055,https://github.com/QBS2026/Nabadat-Product/issues/296,created
T056,https://github.com/QBS2026/Nabadat-Product/issues/297,created
T057,https://github.com/QBS2026/Nabadat-Product/issues/298,created
T058,https://github.com/QBS2026/Nabadat-Product/issues/299,created
T059,https://github.com/QBS2026/Nabadat-Product/issues/300,created
T060,https://github.com/QBS2026/Nabadat-Product/issues/301,created
T061,https://github.com/QBS2026/Nabadat-Product/issues/302,created
T062,https://github.com/QBS2026/Nabadat-Product/issues/303,created
T063,https://github.com/QBS2026/Nabadat-Product/issues/304,created
T064,https://github.com/QBS2026/Nabadat-Product/issues/305,created
T065,https://github.com/QBS2026/Nabadat-Product/issues/306,created
T066,https://github.com/QBS2026/Nabadat-Product/issues/307,created
T067,https://github.com/QBS2026/Nabadat-Product/issues/308,created
T068,https://github.com/QBS2026/Nabadat-Product/issues/309,created
T069,https://github.com/QBS2026/Nabadat-Product/issues/310,created
T070,https://github.com/QBS2026/Nabadat-Product/issues/311,created
T071,https://github.com/QBS2026/Nabadat-Product/issues/312,created
T072,https://github.com/QBS2026/Nabadat-Product/issues/313,created
T073,https://github.com/QBS2026/Nabadat-Product/issues/314,created
T074,https://github.com/QBS2026/Nabadat-Product/issues/315,created
T075,https://github.com/QBS2026/Nabadat-Product/issues/316,created
T076,https://github.com/QBS2026/Nabadat-Product/issues/317,created
T077,https://github.com/QBS2026/Nabadat-Product/issues/318,created
T078,https://github.com/QBS2026/Nabadat-Product/issues/319,created
T079,https://github.com/QBS2026/Nabadat-Product/issues/320,created
T080,https://github.com/QBS2026/Nabadat-Product/issues/321,created
T081,https://github.com/QBS2026/Nabadat-Product/issues/322,created
T082,https://github.com/QBS2026/Nabadat-Product/issues/323,created
T083,https://github.com/QBS2026/Nabadat-Product/issues/324,created
T084,https://github.com/QBS2026/Nabadat-Product/issues/325,created
